month,hsk,name,export_kusd,export_tons,import_kusd,import_tons,balance_kusd
2026.01,8542321010,DRAM (디램),5059379,142.4,1041284,54.8,4018095
2026.01,8542321020,SRAM (에스램),889,0.3,1214,0.3,-325
2026.01,8542321030,Flash (플래시 메모리),1434956,43.6,238957,12.0,1196000
2026.01,8542321090,Other memory (기타),40674,14.7,55203,5.0,-14529
2026.01,8542322000,Hybrid IC (하이브리드),3,0.0,902,0.2,-900
2026.01,8542323000,MCP (복합구조칩),4883414,87.6,798867,11.2,4084547
2026.01,8542324000,MCO (복합부품),692648,14.0,330248,3.3,362401
2026.02,8542321010,DRAM (디램),6490777,134.7,925324,37.8,5565453
2026.02,8542321020,SRAM (에스램),841,0.3,789,0.2,52
2026.02,8542321030,Flash (플래시 메모리),1406224,37.5,227390,11.0,1178834
2026.02,8542321090,Other memory (기타),33001,9.6,66428,6.2,-33427
2026.02,8542322000,Hybrid IC (하이브리드),1,0.0,10,0.0,-9
2026.02,8542323000,MCP (복합구조칩),6748826,92.9,842373,10.1,5906453
2026.02,8542324000,MCO (복합부품),1131080,12.9,375922,2.9,755158
2026.03,8542321010,DRAM (디램),8012444,145.3,1212666,44.0,6799778
2026.03,8542321020,SRAM (에스램),1705,0.4,2028,0.7,-323
2026.03,8542321030,Flash (플래시 메모리),2544597,55.5,295745,12.9,2248852
2026.03,8542321090,Other memory (기타),61140,15.5,24552,5.5,36588
2026.03,8542322000,Hybrid IC (하이브리드),183,0.1,254,0.1,-72
2026.03,8542323000,MCP (복합구조칩),8577241,134.5,894272,11.3,7682969
2026.03,8542324000,MCO (복합부품),1561701,24.1,443109,3.6,1118592
2026.04,8542321010,DRAM (디램),9248046,139.1,1013052,35.7,8234994
2026.04,8542321020,SRAM (에스램),755,0.4,2417,0.3,-1661
2026.04,8542321030,Flash (플래시 메모리),1673744,36.4,250987,12.0,1422757
2026.04,8542321090,Other memory (기타),61568,16.4,39522,5.3,22046
2026.04,8542322000,Hybrid IC (하이브리드),11,0.0,587,0.1,-576
2026.04,8542323000,MCP (복합구조칩),8157215,112.2,1283561,10.6,6873655
2026.04,8542324000,MCO (복합부품),1688413,14.8,862712,4.2,825701
2026.05,8542321010,DRAM (디램),11428371,147.4,1065577,34.0,10362794
2026.05,8542321020,SRAM (에스램),731,0.2,872,0.3,-141
2026.05,8542321030,Flash (플래시 메모리),1721739,30.3,272468,12.3,1449271
2026.05,8542321090,Other memory (기타),48580,14.3,163645,6.9,-115065
2026.05,8542322000,Hybrid IC (하이브리드),116,0.0,210,0.0,-94
2026.05,8542323000,MCP (복합구조칩),9621558,114.8,1513137,12.2,8108421
2026.05,8542324000,MCO (복합부품),2130950,19.8,714134,3.0,1416816
2026.06,8542321010,DRAM (디램),11175623,149.6,907099,41.7,10268525
2026.06,8542321020,SRAM (에스램),856,0.4,2856,0.4,-2000
2026.06,8542321030,Flash (플래시 메모리),2486161,40.0,235182,11.2,2250980
2026.06,8542321090,Other memory (기타),48906,20.4,213665,9.0,-164759
2026.06,8542322000,Hybrid IC (하이브리드),13,0.0,85,0.1,-72
2026.06,8542323000,MCP (복합구조칩),12682181,134.7,1800652,13.3,10881529
2026.06,8542324000,MCO (복합부품),2646120,18.7,699898,3.8,1946222
2026.07,8542321010,DRAM (디램),13551552,155.8,1135537,40.0,12416015
2026.07,8542321020,SRAM (에스램),48700,1.0,2061,0.5,46639
2026.07,8542321030,Flash (플래시 메모리),1780647,28.8,229163,11.6,1551485
2026.07,8542321090,Other memory (기타),71194,17.5,114281,6.4,-43087
2026.07,8542322000,Hybrid IC (하이브리드),402,0.0,106,0.0,296
2026.07,8542323000,MCP (복합구조칩),10085845,105.7,1600266,10.8,8485579
2026.07,8542324000,MCO (복합부품),2467755,16.6,674376,2.4,1793379
