month,period,total,semiconductors,steel,passenger_cars,petroleum,wireless_comm,ships,auto_parts,computer_peripherals,precision_instr,home_appliances
202601,01-10,15573137,4636494,977309,1017252,1020393,450083,918516,381922,256207,239477,99953
202601,01-20,36347003,10731563,2416433,2862929,2486005,1044513,1324470,869115,640814,524092,277167
202601,01-31,65843937,20687770,4072186,5743691,3796655,1913420,2360600,1541605,1696075,884596,560989
202602,01-10,21406388,6728639,1226066,1347332,1562550,570604,665638,519799,462055,293560,202602
202602,01-20,43692168,15110747,2532091,2643458,3124380,1030904,1301485,971235,1345285,525702,372661
202602,01-28,67642547,25254092,3678524,4503114,4134731,1403770,2145152,1368206,2734224,774382,526311
202603,01-10,22019739,7588184,1088771,1371442,1951340,454119,465459,489319,815068,267062,167437
202603,01-20,54274847,18657336,2765811,3658778,4120688,1068235,2143259,1182974,2226086,613252,397359
202603,01-31,87333128,32972552,4107993,6077605,6288766,1573396,3413486,1695105,3602148,941980,620067
202604,01-10,25127271,8572668,1423646,1706639,1705644,568788,815043,651736,522973,317628,160339
202604,01-20,50269021,18285216,2586912,3142580,3121570,1024629,1773569,1094787,2197612,544884,313221
202604,01-30,85751883,32037722,4322292,5841732,5054233,1479347,2772718,1793010,4238499,921004,539173
202605,01-10,17941707,8538613,744904,828420,1042114,421847,261824,291603,627104,170386,107909
202605,01-20,52502449,21950844,2417797,2762851,3259792,982513,1414852,950878,2449292,532338,331809
202605,01-31,87576083,37286222,4041314,5480813,5237054,1502302,2503537,1477059,4337680,838090,580195
202606,01-10,28496961,11066421,1309119,1620396,1856813,448340,1353827,566293,928331,312283,187697
202606,01-20,61749369,25503660,2800145,3732680,3521851,1049249,2211475,1102788,3065605,622361,411322
202606,01-30,101956159,44942588,4351286,6360318,5423284,1576270,2714944,1653202,5584367,982246,660484
202607,01-10,29827757,11210176,1463443,1895531,1765464,784320,1545876,616364,874143,333309,229862
202607,01-20,54957390,22120033,2647486,3236492,3458124,1336880,2450078,1050704,2039186,556773,423999
202607,01-31,98959099,41171912,4661963,5954827,5796702,2051205,3113726,1859385,4946933,1002036,697482
202608,01-10,21285723,9951784,900708,181589,1997215,470569,470680,223664,587444,207249,113048
202608,01-20,55206635,26031978,2391937,1521414,4238557,1040226,913907,797357,2278121,525237,306859
